adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,budget,revenue,runtime,expected_revenue,disappointment_index,roi,release_year,release_month
False,/2I1OFQJ0L9T0dpU6FobKFWV2PxX.jpg,"[878, 12]",687163,Project Hail Mary,en,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",417.1089,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,2026-03-15,False,False,8.602,3681,200000000,668516856,157,500000000.0,1.337033712,2.34258428,2026,3
False,/9Z2uDYXqJrlmePznQQJhL6d92Rq.jpg,"[10751, 35, 12, 14, 16]",1226863,The Super Mario Galaxy Movie,en,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",332.9093,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,2026-04-01,False,False,7.159,1083,110000000,967144200,98,275000000.0,3.516888,7.79222,2026,4
False,/wMrV8SLne1jHLeYS0lLrA1Tf86P.jpg,"[27, 9648]",1304313,Lee Cronin's The Mummy,en,Lee Cronin's The Mummy,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",303.3424,/1q308iixueCU4pFtSYugNOevtNx.jpg,2026-04-15,False,False,7.706,484,22000000,89191878,133,55000000.0,1.6216705090909092,3.0541762727272728,2026,4
False,/gkh6Nt8DtY1XT4gQsyFq9XAVJlJ.jpg,"[18, 35]",350,The Devil Wears Prada,en,The Devil Wears Prada,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.",257.6913,/8912AsVuS7Sj915apArUFbv6F9L.jpg,2006-06-29,False,False,7.415,13487,35000000,326588371,109,87500000.0,3.7324385257142856,8.331096314285714,2006,6
False,/6ELCZlTA5lGUops70hKdB83WJxH.jpg,"[28, 14, 12]",460465,Mortal Kombat,en,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",159.5253,/ybrX94xQm8lXYpZAPRmwD9iIbWP.jpg,2021-04-07,False,False,7.025,6566,20000000,84426031,110,50000000.0,1.68852062,3.22130155,2021,4
False,/4EAAwpylq313qrDqpCxulUrXBNF.jpg,"[28, 14, 12]",931285,Mortal Kombat II,en,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",156.8035,/lIsMeDbwntNXSUVHmWMMRXEZOVc.jpg,2026-05-06,False,False,6.931,224,80000000,106272756,116,200000000.0,0.53136378,0.32840945,2026,5
False,/iN41Ccw4DctL8npfmYg1j5Tr1eb.jpg,"[878, 12, 14]",83533,Avatar: Fire and Ash,en,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",153.3,/aabwWZWx6z1aYP4PX2ADvbDKktd.jpg,2025-12-17,False,False,7.484,3100,350000000,1490477656,198,875000000.0,1.7034030354285714,3.2585075885714287,2025,12
False,/u53UYu5XG2hNgWGvs3xGhAVzypl.jpg,"[12, 16, 35, 10751, 878]",1327819,Hoppers,en,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",133.6249,/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,2026-03-04,False,False,8.1,1137,150000000,383146505,104,375000000.0,1.0217240133333334,1.5543100333333333,2026,3
False,/9dMp9t0d0nIGhiil8TyqChwiNwA.jpg,"[53, 27, 35]",1266127,Ready or Not: Here I Come,en,Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",127.504,/13ZcJzSGEqVgDSqsS9U5EkQwPkV.jpg,2026-03-19,False,False,7.656,774,14000000,42212563,108,35000000.0,1.2060732285714286,2.0151830714285714,2026,3
False,/8qkDwjTFoLAwmYh2J9HMeIDRlxd.jpg,"[18, 9648]",249397,Nymphomaniac: Vol. II,en,Nymphomaniac: Vol. II,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,113.6926,/iLUNqgNKuWn667kXCKztSxYbT3k.jpg,2013-12-25,False,False,6.709,3151,2350000,4934725,124,5875000.0,0.8399531914893617,1.0998829787234043,2013,12
False,/xBT0oNq6rsTFv4SxG5uGRIEOrq6.jpg,"[10402, 18]",936075,Michael,en,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",109.179,/tBtqTCimYm3DKck3t8A2mgJaKVK.jpg,2026-04-22,False,False,7.584,785,250000000,709545222,128,625000000.0,1.1352723552,1.838180888,2026,4
False,/tq3h43fZy0H80vzf47MAY7R9Mxo.jpg,"[16, 35, 10751]",1297842,GOAT,en,GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",109.0614,/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,2026-02-11,False,False,8.1,632,90000000,193566330,100,225000000.0,0.8602948,1.150737,2026,2
False,/lgotja3xMoJZbynwHfcQcJAEMWH.jpg,"[12, 16, 35, 10751, 9648]",1084242,Zootopia 2,en,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",85.1868,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,2025-11-26,False,False,7.637,2777,150000000,1868208796,108,375000000.0,4.981890122666667,11.454725306666667,2025,11
False,/nHxWyy18SvAZ8jJeemtS8k1UNjM.jpg,"[28, 80, 53]",1290821,Shelter,en,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",80.9566,/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,2026-01-28,False,False,7.505,964,50000000,53914725,107,125000000.0,0.4313178,0.0782945,2026,1
False,/y3fQa7pytlysovXzovpXc1OQlTW.jpg,"[35, 18]",1314481,The Devil Wears Prada 2,en,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",72.6272,/xTI42pmsP5EDnvsNJPEDubwWBQO.jpg,2026-04-29,False,False,6.7,607,100000000,547959735,119,250000000.0,2.19183894,4.47959735,2026,4
False,/gaKFXcB5J1gz0QqYj8bWIfrPc04.jpg,"[28, 878, 12]",1242898,Predator: Badlands,en,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",71.8839,/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,2025-11-05,False,False,7.729,2883,105000000,184500000,107,262500000.0,0.7028571428571428,0.7571428571428571,2025,11
False,/wns4x1GyxCudgOZRyhXKjXVJf3T.jpg,"[12, 53, 878]",840464,Greenland 2: Migration,en,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",65.9283,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,2026-01-07,False,False,6.414,1067,90000000,44856736,98,225000000.0,0.1993632711111111,-0.5015918222222222,2026,1
False,/2ssWTSVklAEc98frZUQhgtGHx7s.jpg,"[12, 18, 878]",157336,Interstellar,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,65.7895,/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,2014-11-05,False,False,8.474,39742,165000000,746606706,169,412500000.0,1.8099556509090908,3.5248891272727274,2014,11
